# annual AT zonal mean with weighted latitudes for nh - North hemisphere, gl - Greenland (6–75°W, 58–85°N), arctic - the Arctic (> 66:5° N),
# AT in °C, 1900-2015
# based on 20CRv3 data
years,global_AT,nh_AT,arctic_AT,gl_AT,global_AT_ano,nh_AT_ano,arctic_AT_ano,gl_AT_ano,gl_AT_at
1900,14.17786044082328,15.104644718773272,-11.48486743975502,-6.541144179689184,-0.5490025789718018,-0.5177131788210527,-1.1241299311293886,-0.4255949289628047,-6.541144179689184
1901,14.107855486752667,15.029341614377811,-11.89489247763845,-6.412342711188785,-0.6190075330424136,-0.5930162832165138,-1.5341549690128191,-0.296793460462406,-6.476743445438984
1902,13.9766176778856,14.791998332687513,-12.794712537078285,-7.022574981960474,-0.7502453419094817,-0.8303595649068125,-2.433975028452654,-0.9070257312340956,-6.658687290946148
1903,13.798306705810433,14.612807830938436,-12.26625104176378,-7.47641551336028,-0.9285563139846484,-1.0095500666558888,-1.9055135331381496,-1.360866262633901,-6.863119346549681
1904,13.69253053127676,14.416246450051574,-12.875098570121963,-8.09106748261462,-1.0343324885183218,-1.2061114475427512,-2.5143610614963325,-1.9755182318882405,-7.108708973762669
1905,13.95607738514218,14.8104058240653,-11.923371255828611,-7.234909847020901,-0.770785634652901,-0.8119520735290244,-1.5626337472029803,-1.1193605962945226,-7.247462107229012
1906,14.078220209731,14.98894679244637,-11.511869597146756,-7.432441736153748,-0.6486428100640804,-0.633411105147955,-1.1511320885211251,-1.3168924854273696,-7.451481912222005
1907,13.892580242391546,14.696835497958716,-11.878361455111415,-7.717297134767421,-0.8342827774035353,-0.925522399635609,-1.5176239464857844,-1.6017478840410415,-7.590426342783394
1908,13.868199409810188,14.740956325606248,-11.892973779521128,-6.598868185905758,-0.8586636099848928,-0.8814015719880768,-1.5322362708954973,-0.4833189351793789,-7.414916877292489
1909,13.82305592894346,14.724992052342486,-11.80622079607923,-6.843545716226572,-0.9038070908516218,-0.8973658452518389,-1.4454832874536,-0.7279964655001931,-7.16541252401488
1910,13.767114005851568,14.630150546285734,-12.265780288532484,-7.518562258592283,-0.9597490139435134,-0.9922073513085916,-1.9050427799068537,-1.403013007865904,-7.222143006329157
1911,13.816004043558848,14.709337763435316,-12.33941150006524,-7.339504760779107,-0.9108589762362324,-0.9130201341590088,-1.9786739914396083,-1.2239555100527282,-7.203555611254228
1912,13.87866349057316,14.663282705917538,-12.205355231502892,-6.938750060062034,-0.8481995292219207,-0.9590751916767868,-1.8446177228772616,-0.8232008093356553,-7.047846196313151
1913,13.927052517193886,14.747339623216362,-11.606483703500372,-7.527510128242284,-0.7998105026011952,-0.8750182743779629,-1.2457461948747408,-1.411960877515905,-7.233574584780456
1914,14.025822240887862,14.89569798158601,-11.855495313133645,-7.756534713745339,-0.7010407789072186,-0.7266599160083143,-1.494757804508014,-1.6409854630189598,-7.416172384284209
1915,14.168737312177656,15.085868990847755,-11.86319386202888,-6.478007188085883,-0.5581257076174246,-0.5364889067465697,-1.5024563534032485,-0.3624579373595038,-7.2080613701829295
1916,13.964903558413257,14.828863357456669,-11.774693258555883,-6.922640355597082,-0.7619594613818244,-0.7934945401376563,-1.4139557499302526,-0.807091104870703,-7.124688489146524
1917,13.884197341216408,14.757433865762664,-11.757237296978928,-7.359175992086364,-0.8426656785786726,-0.8649240318316611,-1.3964997883532977,-1.2436267413599849,-7.20877367555139
1918,13.989603331615283,14.91625812212277,-11.965773482742236,-7.073600290512388,-0.7372596881797975,-0.7060997754715554,-1.6050359741166051,-0.9580510397860094,-7.117991708005411
1919,14.0886544531524,15.022360554827628,-11.140641275135351,-6.726308475141195,-0.6382085666426818,-0.5999973427666969,-0.7799037665097206,-0.6107592244148163,-6.911946460284582
1920,14.077012421619544,14.99465609122842,-11.410392812061277,-7.436556532387783,-0.6498505981755365,-0.6277018063659057,-1.049655303435646,-1.3210072816614042,-7.103656329144963
1921,14.055051116784796,15.043757475424115,-11.480296964937963,-7.655926349466426,-0.6718119030102851,-0.5786004221702097,-1.1195594563123326,-1.5403770987400476,-7.250313527918831
1922,14.00022783535087,14.903327600891942,-11.67927315753775,-6.842040993384785,-0.7266351844442109,-0.7190302967023836,-1.3185356489121194,-0.7264917426584061,-7.146886528178515
1923,14.051152483765804,14.911612618402046,-11.921283705044573,-7.10159474363229,-0.6757105360292766,-0.7107452791922793,-1.560546196418942,-0.9860454929059116,-7.152485418802496
1924,14.002622317328758,14.9388217214331,-11.49221306455047,-6.671022123129376,-0.7242407024663233,-0.6835361761612244,-1.1314755559248386,-0.5554728724029969,-7.1414281484001325
1925,14.031174114107102,14.961925360659052,-11.940739952509944,-6.953531521839807,-0.6956889056879785,-0.6604325369352733,-1.5800024438843128,-0.8379822711134279,-7.044823146290537
1926,14.17043345489725,15.116868288966543,-11.794797374078255,-6.6172488159742215,-0.5564295648978312,-0.5054896086277818,-1.4340598654526246,-0.5016995652478426,-6.837087639592096
1927,14.078733907939691,15.039410496161338,-11.683983786275576,-6.471954331117559,-0.6481291118553898,-0.5829474014329872,-1.323246277649945,-0.3564050803911796,-6.76307030713865
1928,14.129055289351072,15.106055350216309,-11.281712234486749,-5.928217701909034,-0.5978077304440088,-0.5163025473780163,-0.920974725861118,0.1873315488173448,-6.528394898794
1929,13.943929683023669,14.887019709654226,-11.72959550303824,-6.255171466218997,-0.7829333367714124,-0.7353381879400995,-1.3688579944126094,-0.1396222154926176,-6.445224767411924
1930,14.187449869586205,15.221220341978835,-11.126681871697995,-6.178882928598512,-0.5394131502088761,-0.4011375556154899,-0.7659443630723644,-0.0633336778721327,-6.290295048763665
1931,14.233743280385966,15.225456041514748,-11.314818646482252,-6.350943910088915,-0.4931197394091153,-0.3969018560795767,-0.9540811378566209,-0.2353946593625364,-6.237034067586603
1932,14.14398844713594,15.12309950124552,-11.457824259036729,-6.097769128673008,-0.5828745726591418,-0.4992583963488055,-1.0970867504110977,0.017780122053371,-6.162197027097693
1933,14.041038257744049,14.991953515138732,-11.2521670353064,-6.129901271994129,-0.6858247620510323,-0.6304043824555929,-0.8914295266807688,-0.0143520212677499,-6.202533741114712
1934,14.095079852930157,15.13903000966468,-11.05082088311758,-6.917633344021681,-0.6317831668649241,-0.4833278879296454,-0.6900833744919499,-0.802084093295302,-6.335026116675249
1935,14.146411267434246,15.101910296581709,-11.636370315764964,-6.657478978164363,-0.580451752360835,-0.5204476010126164,-1.275632807139333,-0.5419297274379842,-6.430745326588419
1936,14.189549837859945,15.16033079752856,-11.422703561530795,-6.625732107252361,-0.5373131819351364,-0.4620271000657645,-1.0619660529051649,-0.510182856525982,-6.485702966021108
1937,14.281675111872405,15.253809428938212,-11.193692915165002,-6.751652670639714,-0.4451879079226764,-0.3685484686561135,-0.8329554065393712,-0.6361034199133355,-6.61647967441445
1938,14.273184850774044,15.265405108779303,-10.89690743957334,-6.850302848057368,-0.4536781690210372,-0.3569527888150219,-0.5361699309477093,-0.7347535973309887,-6.760559989627097
1939,14.278761930763096,15.222027825712132,-11.772483500280543,-6.009369461175652,-0.4481010890319847,-0.4003300718821929,-1.4117459916549129,0.106179789550727,-6.578907213057891
1940,14.23689705697285,15.155702765316732,-11.666289057899462,-6.155516222282586,-0.4899659628222306,-0.4666551322775927,-1.3055515492738312,-0.0399669715562067,-6.478514661881536
1941,14.28212004576244,15.218604417679842,-12.230740056519494,-5.91469919973207,-0.4447429740326409,-0.4037534799144833,-1.870002547893863,0.2008500509943092,-6.336308080377478
1942,14.24133293258086,15.168419897641796,-11.55640272134275,-6.497836263477041,-0.4855300872142205,-0.4539379999525295,-1.1956652127171186,-0.3822870127506617,-6.285544798944943
1943,14.216877287183308,15.196715485948914,-11.2830510038861,-7.584514515884621,-0.5099857326117725,-0.4256424116454109,-0.92231349526047,-1.468965265158242,-6.432387132510394
1944,14.463706367037616,15.38944140630764,-11.004669617570642,-7.049394828661377,-0.2631566527574644,-0.2329164912866854,-0.6439321089450107,-0.9338455779349984,-6.640392206007538
1945,14.422762352749714,15.338336755129546,-11.04549958369904,-6.0370138789066345,-0.3041006670453665,-0.2840211424647787,-0.6847620750734098,0.0785353718197443,-6.616691737332348
1946,14.251826172693882,15.22458076154851,-11.698478421531831,-6.164875506051374,-0.4750368471011992,-0.397777136045816,-1.3377409129062006,-0.0493262553249946,-6.666726998596209
1947,14.187672077126194,15.137175290866423,-10.944174653693892,-5.99873572878073,-0.5391909426688866,-0.4851826067279017,-0.5834371450682614,0.1168135219456489,-6.566906891656947
1948,14.145494661147666,15.05738850491906,-12.489610432740562,-7.577815066193068,-0.5813683586474152,-0.5649693926752644,-2.128872924114932,-1.4622658154666892,-6.5655670017186365
1949,14.111971256152913,14.959820105273709,-11.975961745781715,-8.07854329551941,-0.6148917636421682,-0.6625377923206166,-1.6152242371560843,-1.9629940447930307,-6.771396695090243
1950,14.058173090910202,14.895476947183113,-12.00848383772444,-6.8758468725262105,-0.6686899288848789,-0.7268809504112124,-1.6477463290988084,-0.7602976217998316,-6.939163293814159
1951,14.147988698543427,15.03080910703028,-12.209700286526356,-7.560732524718389,-0.5788743212516536,-0.5915487905640457,-1.8489627779007252,-1.4451832739920103,-7.2183346975475615
1952,14.185484394779053,15.023935828406591,-11.700583456419736,-6.4301116813338695,-0.5413786250160282,-0.598422069187734,-1.339845947794105,-0.3145624306074905,-7.30460988805819
1953,14.303752449827243,15.224477213993453,-11.210306220174177,-6.774189654191503,-0.4231105699678377,-0.3978806836008726,-0.849568711548546,-0.6586404034651236,-7.143884805657876
1954,14.134897323867506,15.062199902825457,-10.856516150875107,-6.45577287181834,-0.5919656959275752,-0.5601579947688684,-0.4957786422494763,-0.3402236210919609,-6.819330720917662
1955,14.078299493581651,14.983601470100156,-12.201216257685472,-6.69233622720958,-0.6485635262134295,-0.6387564274941688,-1.8404787490598409,-0.5767869764832012,-6.782628591854336
1956,14.012656392495444,14.7764983267935,-11.728128510013107,-7.172762146307036,-0.714206627299637,-0.8458595708008243,-1.3673910013874764,-1.0572128955806577,-6.7050345161720655
1957,14.261314576389225,15.156727487846922,-11.85442042338849,-7.054921439131476,-0.4655484434058561,-0.4656304097474031,-1.493682914762859,-0.9393721884050974,-6.829996467731587
1958,14.280886983839707,15.197387512522369,-12.059833582854878,-6.518725408478076,-0.4459760359553737,-0.4249703850719566,-1.6990960742292476,-0.4031761577516972,-6.778903618588902
1959,14.25088926060016,15.130221740759794,-11.175431832192205,-6.824852372270755,-0.4759737591949218,-0.4921361568345315,-0.8146943235665738,-0.7093031215443757,-6.852719518679384
1960,14.213231995341914,15.066890301925412,-11.452999448110347,-5.684330358849365,-0.5136310244531668,-0.5554675956689135,-1.0922619394847164,0.4312188918770134,-6.651118345007342
1961,14.31643150186585,15.138695240740503,-11.910646041923885,-7.149696990209293,-0.410431517929231,-0.4836626568538218,-1.5499085332982538,-1.034147739482914,-6.646505313787793
1962,14.24309019492813,15.121189023304169,-11.792451764969996,-6.646318247188219,-0.4837728248669517,-0.5011688742901566,-1.4317142563443657,-0.5307689964618403,-6.5647846753991415
1963,14.26147751508546,15.130740214733066,-12.177033396786612,-6.641543297447129,-0.4653855047096211,-0.4916176828612588,-1.8162958881609812,-0.5259940467207498,-6.589348253192952
1964,14.085535933489098,14.854393576746702,-12.189810824219364,-6.36206059430026,-0.6413270863059832,-0.7679643208476232,-1.829073315593733,-0.2465113435738812,-6.496789897598854
1965,14.139380995971637,14.915021730268109,-11.900839072406882,-6.533294046918513,-0.5874820238234442,-0.7073361673262166,-1.540101563781251,-0.4177447961921343,-6.6665826352126825
1966,14.202469231463738,15.039471085919388,-12.421826859892462,-7.043440394269965,-0.5243937883313432,-0.5828868116749373,-2.061089351266832,-0.9278911435435856,-6.6453313160248175
1967,14.219647515427482,15.099482615633065,-11.4151934646751,-7.417461090572317,-0.5072155043675988,-0.5228752819612605,-1.0544559560494695,-1.3019118398459382,-6.799559884701637
1968,14.228073874419636,15.053515796662737,-11.916483946583014,-6.876521652753581,-0.4987891453754454,-0.5688421009315885,-1.555746437957383,-0.7609724020272024,-6.846555555762928
1969,14.37051982272601,15.123372693926116,-11.374865641489976,-6.776760353033069,-0.3563431970690711,-0.4989852036682087,-1.0141281328643448,-0.66121110230669,-6.929495507509489
1970,14.337271213511144,15.085654738909112,-11.489823766304482,-6.666325783554498,-0.3895918062839367,-0.5367031586852136,-1.1290862576788516,-0.5507765328281193,-6.956101854836686
1971,14.222850046821575,14.965181648705707,-11.54043270906925,-7.791739159874851,-0.5040129729735057,-0.6571762488886179,-1.1796952004436196,-1.676189909148472,-7.105761607957663
1972,14.32283549523305,14.985691375872989,-11.255390617952514,-7.201305217396168,-0.4040275245620304,-0.6366665217213363,-0.8946531093268835,-1.0857559666697894,-7.062530433322434
1973,14.417799587131356,15.188152153805447,-11.136710349017676,-7.07263383898902,-0.3090634326637254,-0.434205743788878,-0.7759728403920452,-0.9570845882626412,-7.101752870569522
1974,14.194322202804756,14.922748890926584,-11.44736351057412,-6.63779697374747,-0.5325408169903252,-0.6996090066677407,-1.0866260019484884,-0.5222477230210911,-7.073960194712401
1975,14.286069692098124,15.079057471749763,-11.211719151618697,-7.106261516626262,-0.4407933276969569,-0.5433004258445617,-0.8509816429930659,-0.9907122658998828,-7.161947341326754
1976,14.16390854595329,14.872651967586307,-11.355437743159882,-6.714585011282338,-0.5629544738417902,-0.7497059300080178,-0.9947002345342516,-0.5990357605559593,-6.946516511608252
1977,14.438082268852613,15.202887420617571,-11.28700311460807,-6.206817093720872,-0.2887807509424682,-0.4194704769767536,-0.9262656059824383,-0.091267842994493,-6.747618886873193
1978,14.363177755511856,15.12406984227431,-11.600337981954963,-6.9602880205034126,-0.3636852642832249,-0.4982880553200157,-1.2396004733293324,-0.8447387697770337,-6.725149723176071
1979,14.429905601350017,15.157139769622518,-11.962576392243308,-6.709179988160429,-0.2969574184450643,-0.4652181279718075,-1.6018388836176776,-0.5936307374340499,-6.739426326058663
1980,14.543510737269004,15.281174825140852,-11.228132662890689,-5.875453481660259,-0.1833522825260765,-0.3411830724534734,-0.8673951542650578,0.2400957690661203,-6.493264719065462
1981,14.552906274165366,15.319065167607846,-10.847272249158095,-6.640046475853524,-0.1739567456297148,-0.3032927299864791,-0.4865347405324645,-0.5244972251271447,-6.478357011979699
1982,14.30958830238484,14.98989758924779,-11.986993104436864,-7.4802943798347314,-0.4172747174102404,-0.6324603083465359,-1.6262555958112337,-1.3647451291083526,-6.733052469202471
1983,14.49904390675107,15.18251499110221,-11.55330157821129,-8.272617350984433,-0.2278191130440117,-0.4398429064921156,-1.192564069585659,-2.157068100258054,-6.995518335298675
1984,14.308799736135713,14.9668981043464,-11.10865412787348,-7.166147625408655,-0.418063283659368,-0.6554597932479247,-0.7479166192478495,-1.0505983746822762,-7.0869118627483205
1985,14.363830253856008,15.010968992116943,-11.152630854244592,-6.231267424356531,-0.3630327659390726,-0.6113889054773818,-0.791893345618961,-0.1157181736301522,-7.158074651287575
1986,14.48971476054237,15.155621624736227,-11.413869326562804,-6.854449242543183,-0.2371482592527112,-0.4667362728580979,-1.0531318179371727,-0.7388999918168038,-7.200955204625506
1987,14.558644241277308,15.257624579190406,-12.086430753885566,-6.688372230680045,-0.1682187785177724,-0.3647333184039194,-1.7256932452599347,-0.5728229799536662,-7.042570774794569
1988,14.551318255365402,15.25430755766348,-11.485441048324503,-6.8301975650077225,-0.175544764429679,-0.3680503399308445,-1.1247035396988725,-0.7146483142813436,-6.754086817599228
1989,14.441745275217444,15.230227796085728,-11.500801560433842,-7.727749132898737,-0.2851177445776365,-0.3921301015085969,-1.1400640518082117,-1.6121998821723578,-6.866407119097244
1990,14.70299144924445,15.502970032862152,-10.771658427803288,-7.138003037937779,-0.0238715705506304,-0.1193878647321735,-0.4109209191776575,-1.0224537872113997,-7.047754241813493
1991,14.594359214782514,15.389380207688587,-10.885359731850317,-6.949154237322034,-0.1325038050125666,-0.2329776899057378,-0.5246222232246858,-0.8336049865956552,-7.066695240769263
1992,14.368266608626072,15.097279505639335,-11.432563349692714,-7.653249950906854,-0.3585964111690085,-0.52507839195499,-1.0718258410670831,-1.5377007001804754,-7.259670784814626
1993,14.359097711004836,15.193211374341558,-10.9436172820906,-7.380014446041855,-0.3677653087902452,-0.4291465232527667,-0.5828797734649687,-1.2644651953154762,-7.369634161021452
1994,14.506068089307746,15.431428718446966,-11.05970591484396,-6.803592448982101,-0.2207949304873349,-0.1909291791473588,-0.698968406218329,-0.6880431982557225,-7.184802824238124
1995,14.702563512734343,15.685245713429822,-9.903620455169175,-6.388502403009625,-0.0242995070607374,0.0628878158354968,0.4571170534564555,-0.2729531522832458,-7.034902697252494
1996,14.55098508535707,15.348938267548135,-10.472351123793544,-5.580269127774841,-0.1758779344380112,-0.2734196300461899,-0.1116136151679132,0.535280122951538,-6.761125675343055
1997,14.717322141312934,15.591917551712925,-11.092949579677224,-6.35398508109148,-0.0095408784821469,-0.0304403458814004,-0.7322120710515936,-0.238435830365101,-6.50127270137998
1998,14.799650483365326,15.692122171293136,-11.118309149927027,-6.159899830307722,0.0727874635702452,0.0697642736988104,-0.7575716413013964,-0.0443505795813434,-6.257249778233154
1999,14.598682802160283,15.536008737183693,-10.904557021346877,-6.309227080332107,-0.1281802176347977,-0.0863491604106325,-0.543819512721246,-0.1936778296057282,-6.158376704503155
2000,14.624039824932764,15.48822391095814,-10.96412333829835,-6.719250437491724,-0.1028231948623172,-0.1341339866361846,-0.6033858296727193,-0.6037011867653446,-6.224526311399575
2001,14.77160236406388,15.690580730877455,-10.511631942338797,-5.749034592599571,0.0447393442687982,0.06822283328313,-0.1508944337131659,0.3665146581268077,-6.2582794043645205
2002,14.822971165269962,15.6823109048907,-10.402223423810083,-5.830677647473635,0.0961081454748811,0.0599530072963752,-0.0414859151844524,0.2848716032527436,-6.153617917640952
2003,14.785369165956183,15.69586848719348,-10.473308901186384,-5.643065753215808,0.0585061461611022,0.0735105895991541,-0.1125713925607527,0.4724834975105709,-6.050251102222569
2004,14.742870926637238,15.661303785032658,-11.00180564847932,-5.629014734805082,0.016007906842157,0.0389458874383326,-0.6410681398536884,0.4865345159212966,-5.914208633117164
2005,14.903430531505649,15.896068875758315,-9.360584399037975,-4.8702540827363805,0.1765675117105676,0.2737109781639901,1.0001531095876557,1.2452951679899984,-5.544409362166095
2006,14.880670599503103,15.898370686387809,-9.384119776701482,-4.975086481493122,0.1538075797080225,0.2760127887934835,0.9766177319241488,1.140462769233257,-5.389619739944806
2007,14.895976429656514,15.938191993033628,-9.154972334849276,-5.628060117008943,0.169113409861433,0.3158340954393033,1.2057651737763546,0.4874891337174363,-5.349096233851867
2008,14.715617349723232,15.697660412334358,-9.766370344298082,-5.92882110036328,-0.0112456700718492,0.0753025147400325,0.594367164327549,0.1867281503630993,-5.406247303281361
2009,14.83107175022144,15.733225108283024,-9.9317178417312,-5.809773277421186,0.1042087304263592,0.1108672106886992,0.4290196668944315,0.3057759733051925,-5.442399011804582
2010,14.968058095781885,15.982792473950326,-9.100308363058671,-3.749388263057085,0.2411950759868038,0.3604345763560008,1.2604291455669596,2.3661609876692937,-5.218225847868723
2011,14.85917338181048,15.809706916454672,-9.040548252932922,-5.745666590141809,0.1323103620153993,0.1873490188603472,1.3201892556927088,0.3698826605845697,-5.37234186959846
2012,14.89155760739095,15.884423979590906,-8.80883003846452,-5.181759949935383,0.1646945875958696,0.262066081996581,1.55190747016111,0.9337893007909956,-5.283081836183749
2013,14.969363349628736,15.91671927563914,-9.566441858581127,-5.617984384793715,0.2425003298336552,0.2943613780448153,0.7942956500445035,0.4975648659326639,-5.220914493069836
2014,15.021361566914209,16.064300640876127,-8.989792310245377,-5.05119952170287,0.2944985471191277,0.4419427432818015,1.3709451983802534,1.064349729023509,-5.069199741926172
2015,15.181346854558116,16.264704908746864,-9.29411175935394,-6.520774772715697,0.4544838347630353,0.6423470111525393,1.0666257492716902,-0.4052255219893181,-5.623477043857895
